Batch,Accession,Variety,SampleEvents,Sample_PImean,RiceEvents,Rice_Pimean,GenomeSize.mgb,GenomeSize.pg
171212,TX_0109,Wild,5261,83861,1885,15659,2383.121936,4.873459991
171208,TX_0180,Wild,4460,88332,2093,15535,2530.212854,5.174259414
171208,TX_0180,Wild,5657,85597,1784,15740,2419.937041,4.948746506
171208,TX_0180,Wild,6330,85088,790,15646,2419.999305,4.948873834
171208,TX_0180,Wild,4404,90419,2034,15705,2561.958027,5.239177969
171212,TX_0180,Wild,7892,85383,309,15388,2469.104573,5.049293605
171212,TX_0180,Wild,7194,84518,903,15187,2476.43806,5.064290512
171212,TX_0180,Wild,7146,84930,1032,15353,2461.603641,5.033954276
171212,TX_0180,Wild,5776,85777,1790,15158,2518.136115,5.149562607
171208,TX_0279,Wild,3286,84235,1712,15736,2382.036899,4.871241103
171208,TX_0279,Wild,3654,83516,3369,15989,2324.334532,4.753240353
171208,TX_0279,Wild,3233,82217,2015,15636,2339.840294,4.784949476
171208,TX_0279,Wild,3548,80395,1874,15184,2356.096618,4.818193493
171212,TX_0279,Wild,6599,81092,1356,15401,2343.038055,4.791488864
171212,TX_0279,Wild,5482,81611,2369,15399,2358.34008,4.822781349
171212,TX_0279,Wild,4820,82168,2228,15558,2350.16958,4.80607276
171212,TX_0279,Wild,7478,81287,795,15504,2333.069023,4.771102296
171213,TX_0303,Wild,5236,77367,2503,14483,2377.10014,4.861145481
171213,TX_0303,Wild,5905,79836,1763,14991,2369.836678,4.846291775
171213,TX_0303,Wild,4919,79121,2912,14759,2385.531119,4.878386747
171213,TX_0303,Wild,4713,82918,2921,15641,2359.03592,4.824204335
171228,TX_0303,Wild,6520,80128,1786,14827,2404.326378,4.917817495
171228,TX_0303,Wild,5740,78691,1604,14792,2366.794612,4.841049892
171228,TX_0303,Wild,4940,82336,2999,15720,2330.234504,4.76626972
171228,TX_0303,Wild,6449,80391,1782,15049,2376.633391,4.861174164
171213,TX_0480,Wild,3672,84496,4164,15767,2384.71967,4.876727342
171213,TX_0480,Wild,2644,84173,5153,15459,2422.934425,4.954876124
171213,TX_0480,Wild,3977,84279,4182,15414,2433.068134,4.975599455
171213,TX_0480,Wild,3265,85846,4602,16514,2313.225841,4.730523192
171228,TX_0480,Wild,4197,81784,3701,14738,2468.835771,5.049765233
171228,TX_0480,Wild,2725,82140,5045,15042,2429.469884,4.969246111
171228,TX_0480,Wild,2813,82266,4577,15221,2404.582051,4.918340451
171228,TX_0480,Wild,3964,85535,3533,16505,2305.635959,4.715955771
171213,TX_0481,Wild,5382,85536,2827,16450,2313.839796,4.731778723
171213,TX_0481,Wild,6331,87625,1878,16128,2417.674154,4.944118924
